,Abstractive,Lex-t5,Original
320,"He said, ""A human being is a part of the whole, called by us, the 'universe,' -- a part limited in time and space. I know the next Buddha will come a few thousand years from now, but exists currently in a certain heaven"" -- that's Maitreya -- ""so, I'm going to go on a retreat and I'm going to meditate and pray until the Buddha Maitreya reveals himself to me, and gives me a teaching or something to revive the practice of compassion in the world today."" That's it. So he thought, ""I will take the maggots and put them on this piece of flesh, then clean the dog's wounds, and then I'll figure out what to do with the maggots."" So, in a way, I like them so much because they're nice to me. But all of you in a way are part of the eternal mother. And this is the way you do it. And that is where you then look at the reality of all the beings you can think of. And you look at them, and you see how they are. And materialism, they think they get out of it just by not existing, by dying, but they don't.","the next Buddha will come a few thousand years from now, says maitreya. he says he's going to meditate and pray until the Buddha Maitreya reveals himself to him. all of you in a way are part of the eternal mother, he says.","It's hard to always show compassion -- even to the people we love, but Robert Thurman asks that we develop compassion for our enemies. He prescribes a seven-step meditation exercise to extend compassion beyond our inner circle."
321,"This is cis-3-hexene-1-ol. It has one double bond, it has an alcohol on the end, so it’s ""ol,"" and that’s why they call it cis-3-hexene-1-ol. If you dress it up with atoms, hydrogen atoms -- that’s what it looks like when you have it on your computer -- but actually it’s sort of more like this, in the sense that the atoms have a certain sphere that you cannot penetrate. OK, now. So let me explain to you why -- a very simple fact that tells you why this shape theory really does not work very well. This is cis-3-hexene-1-ol. Now, this is kind of interesting, because it tells you that you should be looking for a particular fact, which is this: nothing in the world smells like rotten eggs except S-H, OK? So here you have a system, you have something -- and there’s plenty of that stuff in biology -- some substance giving an electron, and the electron tries to jump, and only when a molecule comes along that has the right vibration does the reaction happen, OK? And the first thing you do is you calculate the vibrational spectrum of coumarin, and you smooth it out, so that you have a nice picture of what the sort of chord, so to speak, of coumarin is. You’re right, and I don’t care how you do it, in a sense; you bring me the molecules, you know.","cis-3-hexene-1-ol has one double bond, it has an alcohol on the end, so it's ""ol"" cis-3-hexene-1-ol has a certain sphere that you cannot penetrate. nothing in the world smells like rotten eggs except S-H, OK?","What's the science behind a sublime perfume? With charm and precision, biophysicist Luca Turin explains the molecular makeup -- and the art -- of a scent."
322,"Actually, I think the bad news about kin selection is just that it means that this kind of compassion is naturally deployed only within the family. The good news is compassion is natural. Again, I know this is not as inspiring a notion of compassion as you may have heard in the past, but from a biologist's point of view, this reciprocal altruism kind of compassion is ultimately self-serving too. Now, if you've been paying attention, you're probably anticipating that there's bad news here; we still aren't to universal love, and it's true because, although an appreciation of the golden rule is natural, it's also natural to carve out exceptions to the golden rule. And the problem is that -- although in the case of sending people to prison, you have this impartial judiciary determining who gets excluded from the golden rule -- that in everyday life, the way we all make these decisions about who we're not going to extend the golden rule to, is we use a much rougher and readier formula. Now, if you're playing doubles, then the person on your side of the net is in a non-zero-sum relationship with you, because every point is either good for both of you -- positive, win-win -- or bad for both of you, it's lose-lose. So, kind of webs of non-zero-sumness are where you would expect compassion and the golden rule to kind of work their magic. So, I think that's good. This is not the same as compassion, but it's conducive to compassion. I would just sum up the way things look, at least from this secular perspective, as far as compassion and the golden rule go, by saying that it's good news that compassion and the golden rule are in some sense built into human nature.",john avlon: bad news is compassion is naturally deployed only within the family. avlon: it's natural to carve out exceptions to the golden rule. he says it's good news that compassion and the golden rule are in some sense built into human nature. avlon: it's good news that compassion and the golden rule are in some sense built into human nature.,"Robert Wright uses evolutionary biology and game theory to explain why we appreciate the Golden Rule (""Do unto others...""), why we sometimes ignore it and why there’s hope that, in the near future, we might all have the compassion to follow it."
323,"And it looked like a way to go, until you start thinking about, what does deep time do to a building? You need absolutely the right mountain if you're going to have a clock for 10,000 years. There it is. This is it. Now, Danny and I were up at this same area one day, and Danny looked over to the right and noticed something halfway up the cliffs, which is a kind of a porch or a cliff shelf with bristlecones on it, and supposed that people going up to the clock inside the mountain could come out onto that shelf and look down at the view. If you go up on top of those cliffs, that's some of the Long Now land in those trees. And if you go up there and look back, then you'll get a sense of what the view starts to be like from the top of the mountain. he's trying to determine if where he is on a bit of Long Now land would appear from down in the valley to be the actual peak of the mountain. And if you go out to that line of trees at the far end, you'll see what the valley used to look like. It's not a clock in a mountain -- it's a mountain clock.","bob greene: you need absolutely the right mountain if you're going to have a clock for 10,000 years. greene: if you go up on top of those cliffs, that's some of the Long Now land in those trees. he says if you go out to that line of trees at the far end, you'll see what the valley used to look like. greene: it's not a clock in a mountain -- it's a mountain clock.","Stewart Brand works on the Clock of the Long Now, a timepiece that counts down the next 10,000 years. It's a beautiful project that asks us to think about the far, far future. Here, he discusses a tricky side problem with the Clock: Where can we put it?"
324,"You look outside: you have all that beauty that you see, all that life that you see around you, and here we have intelligent people like you and I who are having a conversation here. Why is there a planet on which there is life which have evolved? And these Rovers, people wonder now, what are they doing today, so I thought I would show you a little bit what they are doing. If I zoom on it, you can see: that's the Rover on the surface. So what you are seeing here are the layers on the wall of that crater, and the Rover is going down now, measuring, you know, the properties and analyzing the rocks as it's going down, you know, that canyon. What is that? And as you can see, this is a picture of the spacecraft put on Mars, but I thought that just in case you're going to miss that show, you know, in 17 days, I'll show you, kind of, a little bit of what's going to happen. As you saw a little bit earlier, when we were doing the Phoenix one, we have to take into account the heat that we are going to be facing. And we didn't want to take it propulsively all the way to the surface because we didn't want to contaminate the surface; we wanted the Rover to immediately land on its legs. So as you zoom in, you know, you can see Earth, you know, just in the middle here.","john avlon: people wonder why there is a planet on which there is life. avlon: in 17 days, i'll show you, kind of, a little bit of what's going to happen. avlon: we didn't want to take it propulsively all the way to the surface because we didn't want to contaminate it.","At Serious Play 2008, Charles Elachi shares stories from NASA's legendary Jet Propulsion Lab -- including tales and video from the Mars Rover project."
325,"And so when I came in and I started walking around, people -- they just knew what was going on. Because what I used to do, when I thought I was listening, was I would listen just enough to hear what people had to say and think that I could -- I knew what they were going to say, and so I stopped listening. I was 27. And what we’re going to do is, we’re going to have all of the professors allow you to go to class. I explained, with a friend who could interpret my sign language, that I was John Francis, I was walking around the world, I didn’t talk and this was the last time this person’s going to be here interpreting for me. And I learned in that class -- because I would do things like this ... and they were all gathered around, going, ""What's he trying to say?"" My dad came out to see me graduate and, you know, I did the deal, and my father said, ""We’re really proud of you son, but ... "" You know what went on, he said, ""You’ve got to start riding and driving and start talking. And it’s one of those things that came out of the silence, the listening to each other. And so that’s the message that I had. I had no idea I would have a Ph.D. And so I realized that I had a responsibility to more than just me, and that I was going to have to change.","when i was 27, i used to listen just enough to hear what people had to say. i had no idea i would have a Ph.D. and realized that i had a responsibility to more than just me.","For almost three decades, John Francis has been a planetwalker, traveling the globe by foot and sail with a message of environmental respect and responsibility (for 17 of those years without speaking). A funny, thoughtful talk with occasional banjo."
326,"Aimee Corrigan, a very talented and young photographer, and Robert Caputo, a friend and a mentor, who is a veteran of National Geographic, and told me, ""You know, Franco, in 25 years of covering Africa, I don't know if I have come across a story that is so full of hope and so fun."" The plan was to give you a portrait of Nollywood, of this incredible film industry, following Bond in his quest to make an action movie that deals with the issue of corruption, called ""Checkpoint."" I mean, there are those films that people are making for quality, but the first thing you have to remember about this society is that Africa still has people that live on one dollar a day, and these are the people that really watch these films. It’s not just what you see in picture. It’s not just what you see in the picture. For a young man to really make it out here, you got to think of some negative things and all that, or some kind of vices. The Nigerian filmmakers really, really, are doing what they like. I’m very interested in it and I really think that the digital non-linear editing has slashed, you know, the cost now is a fraction of what it used to be. Filmmakers, friends of mine, they look at Nollywood and they say, ""Wow, they are doing what we really want to do, and make a buck and live with this job."" So this is what I really think.","african filmmakers are doing what they like, says photographer aimee corrigan. digital non-linear editing has slashed the cost of filmmaking, she says. ""checkpoint"" is about a young man trying to make a movie about corruption.","Zambia-born filmmaker Franco Sacchi tours us through Nollywood, Nigeria's booming film industry (the world's 3rd largest). Guerrilla filmmaking and brilliance under pressure from crews that can shoot a full-length feature in a week."
327,"And that's what that moment with Patricia Schroeder I think shows: that if we are to bring about an end to the world's worst atrocities, we have to make it such. It sees itself, such as it is, the it, as something that will create the impression that there will be political cost, there will be a political price to be paid, for allowing genocide, for not having an heroic imagination, for not being an upstander but for being, in fact, a bystander. They have a 1-800-GENOCIDE number -- this is going to sound very kitsch, but for those of you who may not be, I mean, may be apolitical, but interested in doing something about genocide, you dial 1-800-GENOCIDE and you type in your zip code, and you don't even have to know who your congressperson is. And the students and the others who are part of this incredibly energized base are there to answer that, and there's always something to do. Now, what this movement has done is it has extracted from the Bush administration from the United States, at a time of massive over-stretch -- military, financial, diplomatic -- a whole series of commitments to Darfur that no other country in the world is making. I think there are a couple -- there are many reasons -- but a couple just to focus on briefly. So this movement, if it's to be durable and global, will have to cross borders, and you will have to see other citizens in democracies, not simply resting on the assumption that their government would do something in the face of genocide, but actually making it such. What do you do? If we think about dignity in our conduct as citizens and as individuals with relation to the people around us, and as a country, if we could inject a regard for dignity into our dealings with other countries, it would be something of a revolution. And the lesson, I think, of the anti-genocide movement that I mentioned, that is a partial success but by no means has it achieved what it has set out to do -- it'll be many decades, probably, before that happens -- but is that if we want to see change, we have to become the change.","john avlon: if we want to end genocide, we have to make it such. avlon: if we want to see change, we have to become the change. avlon: if we want to see change, we have to become the change.","Would you negotiate with someone you knew to be evil, to save lives? Samantha Power tells a story of a complicated hero, Sergio Vieira de Mello. This UN diplomat walked a thin moral line, negotiating with the world's worst dictators to help their people survive crisis. It's a compelling story told with a fiery passion."
328,"In about two minutes, it had reached the level of the railroad tracks and was coming over it. We don't think another wave is coming right away. In the world of blogs, there's going to be before the tsunami and after the tsunami, because one of the things that happened in the wake of the tsunami was that, although initially -- that is, in that first day -- there was actually a kind of dearth of live reporting, there was a dearth of live video and some people complained about this. What became very clear was that, within a few days, the outpouring of information was immense, and we got a complete and powerful picture of what had happened in a way that we never had been able to get before. And what you had was a group of essentially unorganized, unconnected writers, video bloggers, etc., who were able to come up with a collective portrait of a disaster that gave us a much better sense of what it was like to actually be there than the mainstream media could give us. You know, if you think about something like Google, which essentially is relying on the collective intelligence of the Web to seek out those sites that have the most valuable information -- we know that Google does an exceptionally good job of doing that, and it does that because, collectively, this disorganized thing we call the ""World Wide Web"" actually has a remarkable order, or a remarkable intelligence in it. But what the blogosphere offers is the possibility of getting at the kind of collective, distributive intelligence that is out there, and that we know is available to us if we can just figure out a way of accessing it. It is very easy to think that networks are necessarily good things -- that being linked from one place to another, that being tightly linked in a group, is a very good thing. So, one of the phenomena that's very clear in the blogosphere is that once a meme, once an idea gets going, it is very easy for people to just sort of pile on, because other people have, say, a link. Now, I want to connect this back, though, to the tsunami, because one of the great things about the tsunami -- in terms of the blogosphere's coverage, not in terms of the tsunami itself -- is that it really did represent a genuine bottom-up phenomenon.",bob greene: the blogosphere gave us a powerful picture of what happened in the tsunami. he says it's easy to think that networks are necessarily good things. he says the tsunami was a genuine bottom-up phenomenon. greene: the blogosphere is a great way to get at distributive intelligence.,"James Surowiecki pinpoints the moment when social media became an equal player in the world of news-gathering: the 2005 tsunami, when YouTube video, blogs, IMs and txts carried the news -- and preserved moving personal stories from the tragedy."
329,"Don’t know what they do with that, but they have one. So the way they work is, you know, you just put your finger in the thing, pull them back, and off you go. I think I’m going to take these off now, because I can’t see a damn thing when I’ve -- all right, OK. That’s what it is, isn’t it? I want you to do as many of them as you can, in the minute that I’m just about to give you. So that ability just to go for it and explore lots of things, even if they don’t seem that different from each other, is actually something that kids do well, and it is a form of play. For those of you around in the '60s, you probably know it well. As a result, we’d all feel perfectly secure and have a good time -- but because we all understood the rules and we agreed on them together. It’s not an either/or; it’s an ""and."" And there are a series of behaviors that we’ve learnt as kids, and that turn out to be quite useful to us as designers.","kids do well to explore lots of things, even if they don't seem that different from each other. ""it's not an either/or; it's an ""and"" and kids learn a series of behaviors. ""it's not an either/or; it's an ""and""","At the 2008 Serious Play conference, designer Tim Brown talks about the powerful relationship between creative thinking and play -- with many examples you can try at home (and one that maybe you shouldn't)."
330,"First of all, I have to say I'm not from around here. It's called ""Tidying Up Art"" and it's, as you can see, it's more or less a picture book. But since I'm here at TED, I decided to hold my talk here in a more modern way, in the spirit of TED here, and I managed to do some slides here for you. One can see here quite clearly, you can see we have 25 pale green elements, of which one is in the form of a circle. So I'm -- (Laughter) Actually, I mean, here we have some artists that are a bit more structured. (Laughter) OK, I mean, I can see there are always people that like reacting that one or another picture hasn't been properly tidied up. This is a picture by Rene Magritte, and I'd like you all to inwardly -- like in your head, that is -- to tidy that up. So it's possible that some of you would make it like this. (Laughter) But yeah, and it's great, you can even go, you know -- Or we have this pointillist movement for those of you who are into art. (Laughter) But before leaving I would like to show you, I'm working right now on another -- in a related field with my tidying up art method.","""tidying up art"" is a new method for tidying up art. it's called ""tidying up art"" and it's more or less a picture book. it's more or less a picture book, but it's more or less a modern way.","Ursus Wehrli shares his vision for a cleaner, more organized, tidier form of art -- by deconstructing the paintings of modern masters into their component pieces, sorted by color and size."
331,"And so I'd make the car stop, and I'd get out of the car and walk and see that, in fact, there wasn't a hole, but it was a trick of my eye; it was a shadow, you know. (Laughter) So I don't really know that, I don't really -- actually, I do my own kind of research, you know? So that's what I do. I want to show you this clip, because I do this kind of crazy thing where I do a cabaret act. And at least, you know, in my case, because if I just do one thing all the time, I don't know, I get very, very bored. And you know, I don't say that I do everything well. I just say that I do a lot of things, that's all. I don't know what I think of myself as, so ... That's just that. Too much time on computer bridge, which is, you know, like, that's -- So, somehow, like, about 10 years ago, I thought that the most unboring place in the world would be, like, a TV studio, like for a day show, some kind of day talk show, because it's all of these things that I love kind of in one place. Again, I don't say it's good, I just think it's not boring, right?","bob greene: if i just do one thing all the time, I don't know, I get very, very bored. greene: if i just do one thing all the time, I don't know, I get very, very bored. greene: if i just do one thing all the time, I don't know, I get very, very bored.","Fashion designer Isaac Mizrahi spins through a dizzying array of inspirations -- from '50s pinups to a fleeting glimpse of a woman on the street who makes him shout ""Stop the cab!"" Inside this rambling talk are real clues to living a happy, creative life."
332,"So that this is possible to do this is not deniable. And I would say that we can't give up the rule of law to fight an asymmetric threat, which is what we seem to be doing because of the present, the people that are in power, because that's to give up the thing that makes civilization. We can know what the computers are going to be like in 2020. They all need clean water, they need energy, they need transportation, and we want them to develop in a green way. And we need them, you know. We need new kinds of vaccines. We need -- we don't know where this thing is going. And finally, I think we have to do something that's not really -- it's almost unacceptable to say this -- which, we have to begin to design the future. But above all, what we have to do is we have to help the good guys, the people on the defensive side, have an advantage over the people who want to abuse things. And what we have to do to do that is we have to limit access to certain information.","jeffrey toobin: we can't give up the rule of law to fight an asymmetric threat. toobin: we can't give up the thing that makes civilization asymmetric. toobin: we have to limit access to certain information. toobin: we have to help the good guys, the people on the defensive side, have an advantage.","Technologist and futurist Bill Joy talks about several big worries for humanity -- and several big hopes in the fields of health, education and future tech."
333,"Great creativity. And great creativity is needed to do what it does so well: to provoke us to think differently with dramatic creative statements. Narrator: And so he walked, and as he walked he saw things. She spread one leg, and then the other. Gusty entered her boldly and made love to her rhythmically while she filmed him, because she was a keen amateur pornographer. And all because he decided to walk that day. (Applause) Andy Hobsbawm: We've got the science, we've had the debate. The moral imperative is on the table. Great creativity is needed to take it all, make it simple and sharp. To make it make people want to act.","great creativity is needed to provoke us to think differently with dramatic statements. the moral imperative is on the table. great creativity is needed to take it all, make it simple and sharp.",Andy Hobsbawm shares a fresh ad campaign about going green -- and some of the fringe benefits.
334,"The fact is, when we do our market research around the world, we see there's a nearly universal aspiration on the part of people to own an automobile -- 750 million people in the world today own a car. We really have to ask the question: Can the world sustain that number of automobiles? A lot of hydrogen is produced today in the world. What we've targeted for ourselves -- and we're making great progress toward this goal -- is to have a propulsion system based on hydrogen and fuel cells, designed and validated, that can go head-to-head with the internal combustion engine. Now, if you take the power-generating capability of an automobile and you compare that to the electric grid in the United States, it turns out that the power in four percent of the automobiles equals that of the electric grid of the US. Talk about the ultimate swarm -- having all of the processors and all of the cars when they're sitting idle being part of a global grid for computing capability. And the key to all of this is to make it affordable, to make it exciting, to get it on a pathway where there's a way to make money doing it. I just want to ask one. Are you serious about it, and not just, you know, when the consumers want it, when the regulators force us to do it, we will go there? And we want to be the first one to create it, Chris.",750 million people in the world today own a car. we want to have a propulsion system that can go head-to-head with the internal combustion engine. the power in four percent of the automobiles equals that of the electric grid of the us.,"General Motors veep Larry Burns previews cool next-gen car design: sleek, customizable (and computer-enhanced) vehicles that run clean on hydrogen -- and pump energy back into the electrical grid when they're idle."
335,"As funny as it sounds, articulating it now and reading about it -- actually, if we had talked about it before this controversy, I would have said, ""That's kind of true."" You know, foie gras by definition, force feeding, it's gavage, and that's what you get when you want foie gras. (Laughter) And when I was speaking to him, you know, I thought, like I'm speaking to you now, right, but sort of in the middle of my questions, my excited questions, because the more I got to know him and his system, the more exciting this whole idea became. Not for the bush, but for the seeds. (Laughter) So I'm listening to all this, you know, and I'm like, is this guy for real? I said ""Isn't that what they're put on this Earth for? And I say to you, I might not stick to this, but I don't think I'll ever serve foie gras on my menu again because of that taste experience with Eduardo. (Laughter) And he was right. He was right. And what he showed me and what he can show all of us, I think, is that the great thing for chefs, the great blessing for chefs, and for people that care about food and cooking, is that the most ecological choice for food is also the most ethical choice for food.","john avlon: the most ecological choice for food is also the most ethical choice for food. avlon: if we had talked about foie gras before, we would have said, ""that's kind of true"" he says he showed us that the most ecological choice for food is also the most ethical choice for food. avlon: if you're a chef, you're a chef, and you're a chef, you're a","At the Taste3 conference, chef Dan Barber tells the story of a small farm in Spain that has found a humane way to produce foie gras. Raising his geese in a natural environment, farmer Eduardo Sousa embodies the kind of food production Barber believes in."
336,"And although we know that the land animals I'm going to talk about are just the scum of the Earth on the land -- the little bits of land floating around -- but they are important to us because they're sort of in our scale of experience from millimeters to meters. And so my work, really, is trying to understand the character of that Mesozoic radiation compared to the Cenozoic radiation to see what mysteries we can understand from dinosaurs and from other animals about what life on drifting continents really can tell us about evolution. Yes, they do have larger body size, but many of them are smaller, but we're interested in the time it took them to achieve that. We now know this transition is the one time that dinosaurs actually went below that body size -- we're going to see where they began in a minute -- and it is the one time that they rapidly invaded all the habitats I just told you that dinosaurs weren't in. I thought if I'm going to understand dinosaur evolution, I'd have to go back to those beds where they had picked up fragments, go back to a time and a place where the earliest dinosaurs existed. Today I'm going to spend the rest of my few minutes up here talking about the other stuff that I do in Chicago, which is related to the fact that I never -- and actually, in talking to a lot of TEDsters, there's a number of you out there -- I don't know that I'd get an answer honestly, if I asked you to raise your hand, but there are a number of you out there that started your scientific, technical, entertainment career as failures, by society's standards, as failures by schools. I was one of those. It takes us years to understand how to do that with dinosaurs. What about all the kids like me that were in school -- kids like some of you out there -- that were in school and didn't get a chance and will never get a chance to participate in science and technology? And so, that's what we're going to do.","john avlon: dinosaurs have larger body size, but many of them are smaller. avlon: it's the one time that dinosaurs went below that body size. avlon: we're going to see where they began in a minute. avlon: we're going to try to understand what life on drifting continents really can tell us.","Strange landscapes, scorching heat and (sometimes) mad crocodiles await scientists seeking clues to evolution's genius. Paleontologist Paul Sereno talks about his surprising encounters with prehistory -- and a new way to help students join the adventure."
337,"And, Chris, if I could have you up here? OK. And maybe about here, about 30 feet, is the diameter of a big Redwood. That is to say, at that time it was believed that there was nothing up there except the branches of Redwood trees. There they are. And then it bursts into a forest of Redwoods. But as you go and you look closer at a tree, what you see is, you see increasing complexity. One of the things that is just -- I almost can't conceive it -- is the idea that the national news media hasn't picked this up at all, and this is the devastation of one of the most important ecosystems in North America. But we're different from trees, and they can also teach us something about ourselves in the differences that we have. (Applause) Chris Anderson: I think at a previous TED, I think it was Nathan Myhrvold who told me that it was thought that because these trees are like, 2,000 years and older, on many of them there are ecosystems where there are species that are not found anywhere on the Earth except on that one tree. RP: It is fragile, and you know, I think about emerging human diseases -- parasites that move into the human species.","at one time it was believed there was nothing up there except branches of redwood trees. but as you look closer at a tree, what you see is, you see increasing complexity. one of the things that is just -- I almost can't conceive it -- is the national news media hasn't picked this up.","Science writer Richard Preston talks about some of the most enormous living beings on the planet, the giant trees of the US Pacific Northwest. Growing from a tiny seed, they support vast ecosystems -- and are still, largely, a mystery."
338,"(Laughter) Now, chances are that over the last winter, if you had been a beehive, either you or one of the two people you just nodded at would have died. And what we know is that it's as if the bees have caught a flu. And you can do that one year in a row, you may be able to do it two years in a row. And so, in fact, if you know you have these kleptoparasitic bees, you know that your environment is healthy, because they're top-of-the-food-chain bees. And in fact, if you guys live on the West Coast, go to these websites here, and they're really looking for people to look for some of these bumblebees, because we think some have gone extinct. And so it's not just honeybees that are in trouble, but we don't understand these native pollinators or all those other parts of our community. I think that there is perhaps some advantage to keeping lawns at a limited scale, and I think we're encouraged to do that. Add to watch the different plants, or insects, that come to these flowers, to watch that -- and we've heard about, you know, this relationship you can have with wine, this companion you can have as it matures and as it has these different fragrances. Now, not all of us have meadows, or lawns that we can convert, and so you can always, of course, grow a meadow in a pot. But you can also have this great community of city or building-top beekeepers, these beekeepers that live -- This is in Paris where these beekeepers live.","it's as if the bees have caught a flu, and you can do that one year in a row. if you know you have kleptoparasitic bees, you know that your environment is healthy. there is perhaps some advantage to keeping lawns at a limited scale.","Bees are dying in droves. Why? Leading apiarist Dennis vanEngelsdorp looks at the gentle, misunderstood creature's important place in nature and the mystery behind its alarming disappearance."
339,"And so for me, I know that when the Internet came around and I was doing computer programming and just, you know, just generally trying to run my own little company and figure out what to do with the Internet and with computers, I was just immediately struck by how the ultimate thing that you would really want to do with the Internet and with computers would be to use the Internet and connected computers to simulate a world to sort of recreate the laws of physics and the rules of how things went together -- the sort of -- the idea of atoms and how to make things, and do that inside a computer so that we could all get in there and make stuff. And in fact, it's going to be so different than what we see here on earth that anything is going to be possible. You know, to give you a size idea about scale, you know, comparing space to Second Life, most people don't realize, kind of -- and then this is just like the Internet in the early '90s. I'd say I kind of think about the world as being information. That's one way of organizing information, but there are two things about the way you access information in a virtual world that I think are the important ways that they're very different and much better than what we've been able to do to date with the Web. When you're on Amazon.com and you're looking for digital cameras or whatever, you're on there right now, when you're on the site, with like 5,000 other people, but you can't talk to them. And so I think, again, that it's likely that in the next decade or so these virtual worlds are going to be the most common way as human beings that we kind of use the electronics of the Internet, if you will, to be together, to consume information. You have to have that level of freedom, and so I'm often asked that, you know, is there a, kind of, utopian or, is there a utopian tendency to Second Life and things like it, that you would create a world that has a grand scheme to it? And what was so amazing right from the start was that the idea that we had put out in the zoning concept, basically, was instantly and thoroughly ignored, and like, two months into the whole thing, -- which is really a small amount of time, even in Second Life time -- I remember the users, the people who were then using Second Life, the residents came to me and said, we want to buy the disco -- because I had built it -- we want to buy that land and raze it and put houses on it. So, that's it.","in the next decade or so, virtual worlds are going to be the most common way to consume information. virtual worlds are going to be the most common way as human beings that we use the electronics of the Internet. the idea that we had put out in the zoning concept was instantly and thoroughly ignored.","Why build a virtual world? Philip Rosedale talks about the virtual society he founded, Second Life, and its underpinnings in human creativity. It's a place so different that anything could happen."
340,"Just a few of them, but maybe you'll get just a little hint of some of these folks. It was hard on the cats, but it made a great little instrument. You think you can have anything you want. But that day in the cotton field out there picking, when those people started singing, I realized I was in the very heart of real music, and that's where I've wanted to be ever since. I didn't know it was going to make you fall in love with music though."" And it was the only instrument that, of all the ones that I play, that would really make that connection. (Applause) Oh, I think I've got time to tell you about this. This was 1957, I was a little 10-year-old kid; I didn't know what that was. So we went over into Michael's garage -- his dad had all kinds of stuff, and we put a pipe in the vice there, and screwed a cap on the end of the pipe, drilled a hole in the back of the pipe, took some of our firecrackers, pulled out the fuses, tied them together, put them in the back there, and -- down in that hole -- and then stuffed some of our gunpowder down that pipe and put three ball bearings on the top, in the garage. (Laughter) So we made them a big batch, and it was in my -- now, we'd just moved here.","""i didn't know it was going to make you fall in love with music though,"" he says. he was a little 10-year-old kid; he didn't know what that was. in 1957, he made a big batch of gunpowder firecrackers.","Folk musician and storyteller David Holt plays the banjo and shares photographs and old wisdom from the Appalachian Mountains. He also demonstrates some unusual instruments like the mouth bow -- and a surprising electric drum kit he calls ""thunderwear."""
341,"And what I want to talk to you about today is what that gift is, and I also want to explain to you why it is that it hasn't made a damn bit of difference. Here's an example: if I were to tell you, let's play a little coin toss game, and I'm going to flip a coin, and if it comes up heads, I'm going to pay you 10 dollars, but you have to pay four dollars for the privilege of playing with me, most of you would say, sure, I'll take that bet. Because you know that the odds of you winning are one half, the gain if you do is 10 dollars, that multiplies to five, and that's more than I'm charging you to play. The reason is, this isn't how people do odds. The expected value of this lottery is two dollars; this is a lottery in which you should invest your money. Most of you have the intuition that it's not -- you wouldn't pay that for it. And I'm going to show you one or two of them. Now, you can see, this is the problem of shifting comparisons, because what you're doing is, you're comparing the 100 bucks to the purchase that you're making, but when you go to spend that money you won't be making that comparison. What is it? That's what you think it is.","the odds of you winning are one half, the gain if you do is 10 dollars. the expected value of this lottery is two dollars; this is a lottery in which you should invest your money. most of you have the intuition that it's not -- you wouldn't pay that for it.",Dan Gilbert presents research and data from his exploration of happiness -- sharing some surprising tests and experiments that you can also try on yourself. Watch through to the end for a sparkling Q&A with some familiar TED faces.
342,"And so, in my life, you know, I was in the tofu;    it was a family business. And when I was making icons, I was, like,    the icon master, and I was, like, yeah, I'm really good at this, you know. So, I was published, you know,    so, wow, my design's in a book, you know? And so I began to sort of mess with the computer at the time. And this is in 1993. And so, for three years he was out, and he could only blink,    and so I realized at this moment, I thought, wow --   how fragile is this thing we're wearing,    this body and mind we're wearing,    and so I thought, How do you go for it more? So, if you can see here, you know,    that program you're seeing in the corner, if you spread it out, it's all these things all at once. And also, at the same time I was frustrated,    because I would go to all these art and design schools everywhere,    and there were these, like, ""the computer lab,"" you know,    and this is, like, in the late 1990s,    and this is in Basel,  a great graphic design school. They're paintings I made and put a PalmPilot in the middle    as a kind of display that's sort of thinking,    I'm abstract art. However, recently this RISD opportunity kind of arose --   going to RISD -- and I couldn't reconcile this real easy,   because the letters had told me, MIT forever.","the icon master was published in 1993, and he couldn't blink for three years. at the same time, he was frustrated because he would go to all these art and design schools. recently, he went to RISD, and he couldn't reconcile this real easy.","Designer John Maeda talks about his path from a Seattle tofu factory to the Rhode Island School of Design, where he became president in 2008. Maeda, a tireless experimenter and a witty observer, explores the crucial moment when design met computers."
343,"I think they wanted to believe that the most expensive bottle of wine in the world must be the best bottle of wine in the world, must be the rarest bottle of wine in the world. And then I was left with these little ugly flakes on my pasta that, you know, their purpose had been served, and so I'm afraid to say that this was also a disappointment to me. These ones GQ did spring for -- I own these -- but I will tell you,    not only did I not get a compliment from any of you, I have not gotten a compliment from anybody   in the months that I have owned and worn these. (Laughter) There is now a toilet that has an MP3 player in it. (Laughter) To try this one, the maker of it let me and my wife spend the night in the Manhattan showroom. And I had no idea that I was one of those obnoxious people you occasionally see weaving in and out of traffic, because it was just that smooth. There was one object that I could not get my hands on, and that was the 1947 Cheval Blanc. What there is of it left you don't know if it's real -- it's considered to be the most faked wine in the world. And then I tasted it, and it, you know, had this kind of unctuous, porty richness, which is characteristic of that wine -- that it sort of resembles port in a lot of ways. And it wasn't just to that wine.",the 1947 Cheval Blanc is considered to be the most faked wine in the world. it's considered to be the most expensive bottle of wine in the world. it's considered to be the most faked wine in the world.,"Can happiness be bought? To find out, author Benjamin Wallace sampled the world's most expensive products, including a bottle of 1947 Chateau Cheval Blanc, 8 ounces of Kobe beef and the fabled (notorious) Kopi Luwak coffee. His critique may surprise you."
